source	srcwords	target	targwords	nlinks	links_per_word
12-2:01	3780	12-1:04	4363	12431	1.5265872528552131
12-2:01	3780	12-1:20	4112	11810	1.496452103395844
12-2:01	3780	12-1:19	3479	10613	1.4620471139275382
12-2:01	3780	12-1:08	4584	12192	1.4576757532281206
12-2:01	3780	12-1:13	6733	15179	1.443831446780177
12-2:01	3780	12-2:09	4825	12286	1.4277745496804184
12-2:01	3780	12-1:03	3701	10545	1.4095709129795482
12-2:01	3780	12-1:21	5107	12447	1.400585124338922
12-2:01	3780	12-1:11	6884	14884	1.3957239309827456
12-2:01	3780	12-1:23	7356	14461	1.2985811781609196
12-2:01	3780	12-1:17	6181	12596	1.2645316735267544
12-2:01	3780	12-1:16	7002	13618	1.2630309775551847
12-2:01	3780	12-1:12	3777	8024	1.0617970093952627
12-1:02	6853	12-1:01	5183	49868	4.143236955799269
12-1:02	6853	12-1:09	5820	51711	4.0804071648386335
12-1:02	6853	12-1:11	6884	48370	3.521147266506515
12-1:02	6853	12-1:10	4786	40391	3.470315319185497
12-1:02	6853	12-1:07	3883	37031	3.449236214605067
12-1:02	6853	12-1:15	6096	40801	3.1508996833732335
12-1:02	6853	12-1:24	6899	42359	3.0802065154159397
12-1:02	6853	12-1:04	4363	34404	3.067403708987161
12-1:02	6853	12-1:05	7356	41671	2.9327186994158634
12-1:02	6853	12-1:13	6733	36780	2.7071985867805095
12-1:02	6853	12-2:02	3799	28020	2.6304919263987983
12-1:02	6853	12-1:14	4275	28541	2.5647915168943207
12-1:02	6853	12-1:17	6181	32866	2.5215589995396654
12-1:02	6853	12-2:03	4274	28013	2.5175698750786375
12-1:02	6853	12-2:04	7326	34494	2.4327526623880384
12-1:02	6853	12-1:18	5047	28587	2.402268907563025
12-1:02	6853	12-1:03	3701	25262	2.393594845556187
12-1:02	6853	12-1:23	7356	33541	2.360546132732775
12-1:02	6853	12-1:08	4584	26813	2.344408498732185
12-1:02	6853	12-1:16	7002	32206	2.32450378924576
12-1:02	6853	12-2:24	4681	26776	2.321484307265476
12-1:02	6853	12-2:17	5319	27925	2.2941998028261583
12-1:02	6853	12-1:12	3777	23742	2.2334901222953905
12-1:02	6853	12-1:19	3479	22047	2.133855981416957
12-1:02	6853	12-2:08	5024	25206	2.122253094215711
12-1:02	6853	12-2:14	4623	23849	2.0781631230393867
12-1:02	6853	12-2:10	4983	24541	2.073420074349442
12-1:02	6853	12-1:06	4275	22817	2.050413371675054
12-1:02	6853	12-2:15	4811	23783	2.039008916323731
12-1:02	6853	12-2:19	5230	24118	1.9960274766200448
12-1:02	6853	12-2:20	3390	19884	1.9412281558137265
12-1:02	6853	12-2:13	3794	20575	1.9324692401615478
12-1:02	6853	12-2:18	3754	20310	1.9147732629395682
12-1:02	6853	12-2:16	4187	20757	1.8801630434782608
12-1:02	6853	12-2:01	3780	19889	1.870497507758864
12-1:02	6853	12-2:11	5444	22945	1.8659022525819307
12-1:02	6853	12-1:22	4350	20661	1.844238150495403
12-1:02	6853	12-1:21	5107	21424	1.791304347826087
12-1:02	6853	12-1:20	4112	18513	1.6883720930232557
12-1:02	6853	12-2:12	3865	17964	1.676058966225042
12-1:02	6853	12-2:05	4297	18625	1.6704035874439462
12-1:02	6853	12-2:22	4284	18016	1.6176708269731526
12-1:02	6853	12-2:23	3231	15887	1.5754660848869497
12-1:02	6853	12-2:21	3744	15845	1.495234500330282
12-1:02	6853	12-2:06	2890	14405	1.4784973827363235
12-1:02	6853	12-2:09	4825	16622	1.4233601644117144
12-1:02	6853	12-2:07	2910	12326	1.2625217658506607
12-2:02	3799	12-2:01	3780	32813	4.329462989840349
12-2:02	3799	12-2:24	4681	31235	3.683372641509434
12-2:02	3799	12-2:15	4811	30856	3.5837398373983738
12-2:02	3799	12-2:04	7326	39441	3.545258426966292
12-2:02	3799	12-2:17	5319	31143	3.4155516560649266
12-2:02	3799	12-2:03	4274	27113	3.3584788802180108
12-2:02	3799	12-2:16	4187	24883	3.1158276984723265
12-2:02	3799	12-2:19	5230	27551	3.051389965666187
12-2:02	3799	12-2:18	3754	21961	2.9075863895141003
12-2:02	3799	12-2:10	4983	24669	2.809041220678661
12-2:02	3799	12-2:13	3794	21129	2.7826945871197157
12-2:02	3799	12-1:01	5183	24397	2.7162101981741262
12-2:02	3799	12-1:02	6853	28397	2.665884340968832
12-2:02	3799	12-2:20	3390	18737	2.606343024064543
12-2:02	3799	12-2:22	4284	20571	2.5449709266361498
12-2:02	3799	12-2:08	5024	21138	2.3957837470248213
12-2:02	3799	12-2:21	3744	17855	2.367095320164391
12-2:02	3799	12-1:24	6899	24755	2.313983922228454
12-2:02	3799	12-2:11	5444	21327	2.3073677377474846
12-2:02	3799	12-2:05	4297	18192	2.2470355731225298
12-2:02	3799	12-2:12	3865	17048	2.2244258872651357
12-2:02	3799	12-2:23	3231	15625	2.2226173541963017
12-2:02	3799	12-1:09	5820	21295	2.2138475933049175
12-2:02	3799	12-2:14	4623	18116	2.1510330087865115
12-2:02	3799	12-1:10	4786	17837	2.077693651718113
12-2:02	3799	12-1:07	3883	15486	2.015881280916428
12-2:02	3799	12-1:06	4275	16035	1.9860044587565024
12-2:02	3799	12-2:07	2910	13246	1.9743627962438515
12-2:02	3799	12-1:22	4350	15602	1.914590747330961
12-2:02	3799	12-1:05	7356	21313	1.910623038995966
12-2:02	3799	12-2:06	2890	12078	1.805651068919121
12-2:02	3799	12-1:23	7356	19882	1.7823397579560736
12-2:02	3799	12-1:19	3479	12806	1.7595493267381148
12-2:02	3799	12-2:09	4825	14852	1.7221706864564008
12-2:02	3799	12-1:14	4275	13799	1.7090661382214516
12-2:02	3799	12-1:21	5107	14438	1.6211542780148214
12-2:02	3799	12-1:13	6733	16919	1.606437523737182
12-2:02	3799	12-1:04	4363	13102	1.6052438127909825
12-2:02	3799	12-1:18	5047	14007	1.5834275378702238
12-2:02	3799	12-1:17	6181	15781	1.5812625250501002
12-2:02	3799	12-1:15	6096	15646	1.5812026275896918
12-2:02	3799	12-1:03	3701	11672	1.5562666666666667
12-2:02	3799	12-1:11	6884	15581	1.4584854441636244
12-2:02	3799	12-1:08	4584	11931	1.423237504473339
12-2:02	3799	12-1:16	7002	15192	1.4065364318118694
12-2:02	3799	12-1:12	3777	9590	1.2658394931362196
12-2:02	3799	12-1:20	4112	9464	1.1963089369232713
12-1:03	3701	12-1:07	3883	29898	3.9422468354430378
12-1:03	3701	12-1:04	4363	25046	3.1059027777777777
12-1:03	3701	12-1:05	7356	32059	2.899430225196708
12-1:03	3701	12-1:17	6181	28639	2.8980975511030156
12-1:03	3701	12-1:11	6884	30354	2.8676428908833254
12-1:03	3701	12-1:06	4275	22531	2.824849548645938
12-1:03	3701	12-1:24	6899	28898	2.72622641509434
12-1:03	3701	12-1:10	4786	22588	2.661482266996583
12-1:03	3701	12-1:23	7356	28408	2.56923216062223
12-1:03	3701	12-1:13	6733	25362	2.4307073030477286
12-1:03	3701	12-1:02	6853	25642	2.4296001516012886
12-1:03	3701	12-1:19	3479	17170	2.3913649025069637
12-1:03	3701	12-2:15	4811	19939	2.3424577067669174
12-1:03	3701	12-1:14	4275	18633	2.336133400200602
12-1:03	3701	12-1:09	5820	21763	2.2857893078458145
12-1:03	3701	12-1:01	5183	20134	2.2663214768122466
12-1:03	3701	12-1:08	4584	18417	2.222933011466506
12-1:03	3701	12-2:24	4681	18328	2.1865903125745647
12-1:03	3701	12-2:04	7326	23950	2.1719415978960734
12-1:03	3701	12-1:22	4350	17301	2.1489255993044343
12-1:03	3701	12-2:17	5319	19119	2.1196230598669623
12-1:03	3701	12-1:16	7002	22463	2.0987573577501637
12-1:03	3701	12-2:18	3754	15018	2.014486921529175
12-1:03	3701	12-1:18	5047	17235	1.9701646090534979
12-1:03	3701	12-2:10	4983	17072	1.9659143251957623
12-1:03	3701	12-1:15	6096	19177	1.9574359497805451
12-1:03	3701	12-2:03	4274	15255	1.9128526645768025
12-1:03	3701	12-1:20	4112	14901	1.9072059388199156
12-1:03	3701	12-2:08	5024	16236	1.860859598853868
12-1:03	3701	12-2:23	3231	12869	1.856462781304097
12-1:03	3701	12-2:20	3390	12932	1.8237202087152729
12-1:03	3701	12-2:22	4284	14125	1.7689417658108955
12-1:03	3701	12-1:12	3777	13142	1.7574217705268789
12-1:03	3701	12-2:19	5230	15657	1.7531071548538797
12-1:03	3701	12-2:16	4187	13760	1.7444219066937119
12-1:03	3701	12-1:21	5107	15346	1.7422797456857402
12-1:03	3701	12-2:14	4623	14166	1.701826045170591
12-1:03	3701	12-2:11	5444	15181	1.6600328048113724
12-1:03	3701	12-2:21	3744	12042	1.617461383478845
12-1:03	3701	12-2:02	3799	11870	1.5826666666666667
12-1:03	3701	12-2:13	3794	11377	1.5179452968645764
12-1:03	3701	12-2:12	3865	11121	1.4698651863600318
12-1:03	3701	12-2:06	2890	9636	1.461993627674101
12-1:03	3701	12-2:09	4825	12068	1.4154351395730707
12-1:03	3701	12-2:01	3780	10411	1.3916588691351424
12-1:03	3701	12-2:05	4297	11009	1.3764691172793198
12-1:03	3701	12-2:07	2910	8538	1.2914838904855543
12-2:03	4274	12-2:15	4811	43267	4.762465602641717
12-2:03	4274	12-2:04	7326	46586	4.016034482758621
12-2:03	4274	12-2:01	3780	31049	3.8551030543829152
12-2:03	4274	12-2:16	4187	31471	3.7195366977898594
12-2:03	4274	12-1:10	4786	33454	3.6924944812362033
12-2:03	4274	12-2:02	3799	27065	3.352533135141831
12-2:03	4274	12-1:01	5183	28770	3.0421909696521094
12-2:03	4274	12-2:17	5319	29054	3.0286667361617847
12-2:03	4274	12-2:13	3794	23762	2.9452156668319285
12-2:03	4274	12-1:24	6899	30460	2.726214982547212
12-2:03	4274	12-2:24	4681	24344	2.7184812953657174
12-2:03	4274	12-1:05	7356	30986	2.6643164230438523
12-2:03	4274	12-1:09	5820	26832	2.65821279968298
12-2:03	4274	12-1:02	6853	29095	2.614810820526647
12-2:03	4274	12-1:07	3883	20694	2.5369621184258917
12-2:03	4274	12-2:14	4623	22507	2.5297291221760143
12-2:03	4274	12-2:07	2910	18027	2.509326280623608
12-2:03	4274	12-2:19	5230	23076	2.428030303030303
12-2:03	4274	12-2:20	3390	18322	2.3906576200417535
12-2:03	4274	12-2:10	4983	21346	2.305930647077887
12-2:03	4274	12-2:23	3231	17261	2.299933377748168
12-2:03	4274	12-2:08	5024	21101	2.2694127769412775
12-2:03	4274	12-2:05	4297	18592	2.169175125422938
12-2:03	4274	12-1:23	7356	25198	2.1666380051590712
12-2:03	4274	12-2:12	3865	17464	2.1457181471925297
12-2:03	4274	12-2:21	3744	17178	2.1424295335495134
12-2:03	4274	12-2:22	4284	18308	2.139284879644777
12-2:03	4274	12-1:11	6884	23849	2.1373902132998746
12-2:03	4274	12-2:18	3754	16871	2.101519681116094
12-2:03	4274	12-2:11	5444	19890	2.046717431570282
12-2:03	4274	12-2:06	2890	14205	1.9828308207705192
12-2:03	4274	12-1:14	4275	16718	1.9555503567668733
12-2:03	4274	12-2:09	4825	17429	1.9154852181558413
12-2:03	4274	12-1:18	5047	17779	1.9074133676644136
12-2:03	4274	12-1:08	4584	16815	1.8982840370286747
12-2:03	4274	12-1:03	3701	15083	1.8912852664576802
12-2:03	4274	12-1:22	4350	16113	1.8683905380333952
12-2:03	4274	12-1:06	4275	15649	1.830506491987367
12-2:03	4274	12-1:17	6181	18761	1.7944524151123864
12-2:03	4274	12-1:15	6096	18259	1.7607521697203472
12-2:03	4274	12-1:04	4363	13633	1.5784415885145304
12-2:03	4274	12-1:19	3479	11365	1.46588417386818
12-2:03	4274	12-1:20	4112	12213	1.45635583114715
12-2:03	4274	12-1:13	6733	15723	1.428454619787408
12-2:03	4274	12-1:21	5107	13240	1.411363394094446
12-2:03	4274	12-1:16	7002	13879	1.2308442710180916
12-2:03	4274	12-1:12	3777	7917	0.9833561048316979
12-1:04	4363	12-1:05	7356	46564	3.9733765679665503
12-1:04	4363	12-1:11	6884	39539	3.515515248510714
12-1:04	4363	12-1:13	6733	38292	3.4509733237202593
12-1:04	4363	12-1:17	6181	35035	3.3227427921092563
12-1:04	4363	12-1:08	4584	28600	3.1966022130323015
12-1:04	4363	12-1:10	4786	28885	3.1571756476117607
12-1:04	4363	12-1:03	3701	25323	3.1402529761904763
12-1:04	4363	12-1:15	6096	32672	3.1238168084902953
12-1:04	4363	12-1:02	6853	34814	3.1039586305278175
12-1:04	4363	12-1:01	5183	28093	2.942908024303373
12-1:04	4363	12-1:16	7002	33179	2.9194016717993843
12-1:04	4363	12-1:07	3883	23151	2.807543051176328
12-1:04	4363	12-1:14	4275	22619	2.6185459597128964
12-1:04	4363	12-1:06	4275	21078	2.440148182449641
12-1:04	4363	12-1:23	7356	28559	2.4369826777028756
12-1:04	4363	12-2:22	4284	20877	2.414363363016075
12-1:04	4363	12-1:09	5820	24171	2.3736619856623786
12-1:04	4363	12-1:24	6899	26590	2.3610371159651926
12-1:04	4363	12-2:17	5319	22468	2.320594918405288
12-1:04	4363	12-1:20	4112	19627	2.3158702064896755
12-1:04	4363	12-1:18	5047	21702	2.306269925611052
12-1:04	4363	12-1:19	3479	17921	2.2852588625350676
12-1:04	4363	12-1:12	3777	17959	2.2062653562653565
12-1:04	4363	12-1:22	4350	18923	2.171812234591989
12-1:04	4363	12-2:04	7326	25330	2.1669946103173925
12-1:04	4363	12-1:21	5107	20340	2.147835269271383
12-1:04	4363	12-2:11	5444	20926	2.1337819924543693
12-1:04	4363	12-2:24	4681	18511	2.046771340114993
12-1:04	4363	12-2:20	3390	15567	2.007867922094673
12-1:04	4363	12-2:10	4983	18731	2.00417290819602
12-1:04	4363	12-2:08	5024	18610	1.9825290295088953
12-1:04	4363	12-2:13	3794	16109	1.974868211352213
12-1:04	4363	12-2:18	3754	15474	1.9063693482813848
12-1:04	4363	12-2:15	4811	16664	1.816437758883802
12-1:04	4363	12-2:16	4187	14990	1.753216374269006
12-1:04	4363	12-2:19	5230	15859	1.6531846137808819
12-1:04	4363	12-2:23	3231	12227	1.6100869107189886
12-1:04	4363	12-2:02	3799	13072	1.601568243077677
12-1:04	4363	12-2:21	3744	12795	1.5782656963118293
12-1:04	4363	12-2:03	4274	13454	1.5577167998147505
12-1:04	4363	12-2:01	3780	12467	1.531008227925826
12-1:04	4363	12-2:07	2910	10699	1.4710573353499243
12-1:04	4363	12-2:05	4297	12714	1.4681293302540415
12-1:04	4363	12-2:14	4623	13038	1.4509236590251502
12-1:04	4363	12-2:12	3865	10518	1.2783179387457462
12-1:04	4363	12-2:09	4825	11664	1.2694819329560296
12-1:04	4363	12-2:06	2890	7574	1.0442575486005792
12-2:04	7326	12-2:17	5319	66699	5.274733096085409
12-2:04	7326	12-2:15	4811	63941	5.268270577572712
12-2:04	7326	12-2:11	5444	65252	5.109788566953798
12-2:04	7326	12-2:10	4983	60236	4.893655049151028
12-2:04	7326	12-1:24	6899	63788	4.484217926186291
12-2:04	7326	12-2:16	4187	49025	4.258229827151915
12-2:04	7326	12-2:01	3780	47220	4.251755807671529
12-2:04	7326	12-2:19	5230	51317	4.087050015928639
12-2:04	7326	12-2:03	4274	46566	4.014310344827586
12-2:04	7326	12-1:01	5183	47762	3.8182108881605243
12-2:04	7326	12-2:24	4681	44246	3.6850170733738654
12-2:04	7326	12-2:02	3799	39679	3.5666516853932584
12-2:04	7326	12-2:09	4825	42878	3.5287630647683317
12-2:04	7326	12-2:05	4297	40983	3.526025982964811
12-2:04	7326	12-2:08	5024	43156	3.494412955465587
12-2:04	7326	12-1:10	4786	41551	3.4305647291941876
12-2:04	7326	12-2:12	3865	38350	3.426860870342239
12-2:04	7326	12-2:13	3794	37791	3.3984712230215828
12-2:04	7326	12-1:09	5820	43794	3.3313555454130532
12-2:04	7326	12-1:23	7356	47723	3.2504427189756164
12-2:04	7326	12-2:14	4623	38509	3.2227801489664407
12-2:04	7326	12-2:23	3231	33338	3.1579047077768307
12-2:04	7326	12-2:22	4284	35137	3.026442721791559
12-2:04	7326	12-2:18	3754	32271	2.9125451263537907
12-2:04	7326	12-1:05	7356	42457	2.891772238114698
12-2:04	7326	12-2:20	3390	28952	2.7017543859649122
12-2:04	7326	12-1:19	3479	27634	2.5575196668209164
12-2:04	7326	12-1:17	6181	34415	2.5479381061671726
12-2:04	7326	12-2:07	2910	26010	2.541031652989449
12-2:04	7326	12-1:02	6853	35924	2.5336060370971154
12-2:04	7326	12-2:21	3744	27174	2.4547425474254743
12-2:04	7326	12-1:18	5047	30021	2.4263315283278106
12-2:04	7326	12-1:15	6096	32436	2.416629414394278
12-2:04	7326	12-1:11	6884	34107	2.4002111189303306
12-2:04	7326	12-1:14	4275	27753	2.39229376777864
12-2:04	7326	12-1:06	4275	27043	2.331092147228687
12-2:04	7326	12-1:13	6733	32366	2.3021552030727648
12-2:04	7326	12-1:07	3883	25638	2.2872691587117493
12-2:04	7326	12-1:08	4584	26853	2.2546599496221664
12-2:04	7326	12-1:04	4363	26193	2.240824706989477
12-2:04	7326	12-1:22	4350	26038	2.2300445357999314
12-2:04	7326	12-2:06	2890	22433	2.1958692247454974
12-2:04	7326	12-1:21	5107	26966	2.168905332582643
12-2:04	7326	12-1:03	3701	23910	2.168314138024848
12-2:04	7326	12-1:16	7002	29805	2.0801926298157456
12-2:04	7326	12-1:20	4112	20641	1.8045987060674944
12-2:04	7326	12-1:12	3777	13341	1.201567144015131
12-1:05	7356	12-1:11	6884	71528	5.023033707865168
12-1:05	7356	12-1:17	6181	65780	4.859274580778607
12-1:05	7356	12-1:13	6733	68257	4.844701540208673
12-1:05	7356	12-1:08	4584	56742	4.752261306532663
12-1:05	7356	12-1:16	7002	65869	4.587616659701908
12-1:05	7356	12-1:10	4786	54640	4.500082358754736
12-1:05	7356	12-1:15	6096	57871	4.302036871840619
12-1:05	7356	12-1:20	4112	46557	4.059731426578304
12-1:05	7356	12-1:04	4363	46745	3.988821571806468
12-1:05	7356	12-1:21	5107	46499	3.730963652411137
12-1:05	7356	12-1:23	7356	53422	3.6311854268624253
12-1:05	7356	12-1:01	5183	44341	3.536246909641917
12-1:05	7356	12-1:07	3883	38060	3.3864222795622387
12-1:05	7356	12-1:06	4275	38968	3.350356805089846
12-1:05	7356	12-1:14	4275	38749	3.331527813601582
12-1:05	7356	12-1:24	6899	47201	3.3111890564714135
12-1:05	7356	12-1:22	4350	37812	3.230138390568939
12-1:05	7356	12-1:02	6853	42484	2.989935956084172
12-1:05	7356	12-1:03	3701	32069	2.9003346296463777
12-1:05	7356	12-2:04	7326	41744	2.8432093720201608
12-1:05	7356	12-2:13	3794	30484	2.7339910313901346
12-1:05	7356	12-2:17	5319	34639	2.7328599605522683
12-1:05	7356	12-2:15	4811	32709	2.6883373058272375
12-1:05	7356	12-1:18	5047	33127	2.670886075949367
12-1:05	7356	12-1:12	3777	29292	2.631096739423336
12-1:05	7356	12-2:03	4274	30583	2.629664660361135
12-1:05	7356	12-2:24	4681	31052	2.5797125529617015
12-1:05	7356	12-1:09	5820	33421	2.536505768063145
12-1:05	7356	12-2:01	3780	27957	2.5105064655172415
12-1:05	7356	12-2:22	4284	28873	2.4804982817869417
12-1:05	7356	12-2:16	4187	26448	2.291258771549857
12-1:05	7356	12-2:18	3754	25110	2.26012601260126
12-1:05	7356	12-1:19	3479	22999	2.1226580526072913
12-1:05	7356	12-2:10	4983	25519	2.0681578734095147
12-1:05	7356	12-2:19	5230	25816	2.051167964404894
12-1:05	7356	12-2:14	4623	23853	1.9912346606561482
12-1:05	7356	12-2:08	5024	24504	1.9793214862681745
12-1:05	7356	12-2:20	3390	20915	1.9463056020844967
12-1:05	7356	12-2:02	3799	20983	1.8810398924249216
12-1:05	7356	12-2:05	4297	21861	1.8759975971852743
12-1:05	7356	12-2:11	5444	23663	1.848671875
12-1:05	7356	12-2:23	3231	19035	1.79795976197223
12-1:05	7356	12-2:07	2910	17394	1.6943308007013442
12-1:05	7356	12-2:21	3744	18602	1.6758558558558558
12-1:05	7356	12-2:06	2890	17066	1.665625609994144
12-1:05	7356	12-2:12	3865	18397	1.639515194724178
12-1:05	7356	12-2:09	4825	18079	1.4841966997783433
12-2:05	4297	12-2:04	7326	40843	3.513980899939775
12-2:05	4297	12-2:10	4983	30659	3.3037715517241377
12-2:05	4297	12-2:07	2910	23263	3.227834050228944
12-2:05	4297	12-2:12	3865	23435	2.8712325410438617
12-2:05	4297	12-2:13	3794	23125	2.8581139537758005
12-2:05	4297	12-2:09	4825	26007	2.8510195132646348
12-2:05	4297	12-2:19	5230	25471	2.673559357615199
12-2:05	4297	12-2:17	5319	25173	2.617824459234609
12-2:05	4297	12-2:23	3231	19573	2.600026567481403
12-2:05	4297	12-1:24	6899	27721	2.475973561986424
12-2:05	4297	12-2:15	4811	22545	2.475296442687747
12-2:05	4297	12-2:14	4623	21378	2.3966367713004484
12-2:05	4297	12-2:16	4187	19935	2.3497171145685996
12-2:05	4297	12-2:24	4681	20828	2.3198930719536643
12-2:05	4297	12-2:06	2890	16634	2.3144566578544596
12-2:05	4297	12-2:08	5024	21246	2.279369166398455
12-2:05	4297	12-2:02	3799	18341	2.265439723320158
12-2:05	4297	12-1:21	5107	20776	2.209272649936197
12-2:05	4297	12-2:11	5444	21494	2.206549635561031
12-2:05	4297	12-2:18	3754	17646	2.191777418954167
12-2:05	4297	12-2:03	4274	18239	2.1279897328199744
12-2:05	4297	12-2:01	3780	17146	2.1228178779249722
12-2:05	4297	12-1:18	5047	19567	2.094071061643836
12-2:05	4297	12-1:15	6096	21749	2.0926585201577983
12-2:05	4297	12-1:01	5183	19391	2.045464135021097
12-2:05	4297	12-1:23	7356	23571	2.0227409250836694
12-2:05	4297	12-1:09	5820	20299	2.0064248294949096
12-2:05	4297	12-1:14	4275	17139	1.999416705552963
12-2:05	4297	12-1:22	4350	17087	1.976061061639875
12-2:05	4297	12-1:05	7356	22285	1.9123830773191453
12-2:05	4297	12-1:10	4786	16699	1.838489485852692
12-2:05	4297	12-2:22	4284	15657	1.8246125160237734
12-2:05	4297	12-1:17	6181	18624	1.7774384424508494
12-2:05	4297	12-1:02	6853	19557	1.7539910313901346
12-2:05	4297	12-1:19	3479	13478	1.7332818930041152
12-2:05	4297	12-1:20	4112	14492	1.7233916042335593
12-2:05	4297	12-1:06	4275	14549	1.6972701819878675
12-2:05	4297	12-2:21	3744	13383	1.6643452306927
12-2:05	4297	12-1:13	6733	18238	1.6534904805077062
12-2:05	4297	12-1:11	6884	18467	1.6516411769966908
12-2:05	4297	12-1:08	4584	14653	1.649926810043914
12-2:05	4297	12-2:20	3390	12643	1.6447248601535058
12-2:05	4297	12-1:04	4363	13110	1.5138568129330254
12-2:05	4297	12-1:16	7002	17000	1.504557925480131
12-2:05	4297	12-1:07	3883	11733	1.4343520782396089
12-2:05	4297	12-1:03	3701	11387	1.4237309327331833
12-2:05	4297	12-1:12	3777	9290	1.1506068863017092
12-1:06	4275	12-1:05	7356	38898	3.3443384059840082
